"Content Length","Thread count","Sleep (ms)","Server time (ms)","Total time (ms)","Network Latency (ms)",Free,Buff,Cache,User,System,Idle
20000,1,0,28.86161249,34.38565,5.52403751,172684,29164,629459,55,0,45
20000,2,0,57.024710295,65.621685,8.596974705,169795,29192,630022,51,7,42
20000,3,0,86.40466032,97.313596666667,10.908936346667,165922,29210,630118,55,0,45
20000,4,0,123.587730095,139.1765925,15.588862405,162604,29233,630251,65,0,35
20000,5,0,139.823876106,165.207246,25.383369894,161850,29274,630416,36,0,64
20000,6,0,140.87275477167,196.130045,55.257290228333,160829,29313,630625,43,1,56
20000,7,0,154.79669699143,251.04807857143,96.25138158,160276,29354,631232,39,0,61
20000,8,0,146.99765338625,269.91265,122.91499661375,159088,29402,631681,32,4,64
20000,9,0,149.47626766889,308.42595444444,158.94968677556,159744,29456,632001,42,1,57
20000,10,0,143.470565482,329.090192,185.619626518,159117,29510,632343,41,0,59
20000,11,0,145.8366977,366.76742363636,220.93072593636,156931,29571,632722,40,0,60
20000,12,0,144.45327433333,397.81748083333,253.3642065,156380,29637,633151,41,3,56
20000,13,0,146.17323301154,434.78524230769,288.61200929615,156178,29709,633624,37,0,63
20000,14,0,144.390446995,464.37031,319.979863005,156549,29797,634214,39,0,61
20000,15,0,147.71266667467,503.90174533333,356.18907865867,154806,29880,634730,39,0,61
20000,16,0,145.79584915438,532.909799375,387.11395022062,152880,29968,635290,36,0,64
20000,17,0,144.42760438706,558.69338294118,414.26577855412,152467,30061,635885,37,0,63
20000,18,0,144.54072252556,596.72115666667,452.18043414111,153202,30159,636544,41,0,59
20000,19,0,146.54165975895,639.45419526316,492.91253550421,151193,30270,637223,38,0,62
20000,20,0,150.0530740975,684.169614,534.1165399025,150132,30389,637953,42,0,58
